user,knob,span_days,changes,changes_per_6mo,driver_corr,driver_agreement,tightenings,loosenings,past_deadband,past_deadband_per_6mo,median_move
tim,aggression,175,5,5.214285714285714,-0.5470764111207186,1.0,3,2,5,5.214285714285714,0.07000000000000006
tim,hypoCaution,175,14,14.6,0.820255901894438,0.9285714285714286,8,6,10,10.428571428571429,0.30000000000000004
tim,confirmedCap,175,7,7.3,0.8271812895369384,1.0,3,4,2,2.085714285714286,0.26
tim,committedCap,175,17,17.728571428571428,0.986363629338993,0.9411764705882353,9,8,3,3.1285714285714286,0.030000000000000027
tim,cumulative60,175,16,16.685714285714287,0.6840961720242297,0.9230769230769231,9,7,1,1.042857142857143,0.10000000000000009
tim,primerCap,175,14,14.6,0.4813533143135432,0.7692307692307693,9,5,4,4.171428571428572,0.020000000000000004
A,aggression,168,0,0.0,,,0,0,0,0.0,0.0
A,hypoCaution,168,0,0.0,,,0,0,0,0.0,0.0
A,confirmedCap,168,3,3.258928571428571,0.9823226696770099,1.0,1,2,3,3.258928571428571,1.2000000000000002
A,committedCap,168,15,16.294642857142858,0.9888128383419256,1.0,8,7,1,1.0863095238095237,0.020000000000000018
A,cumulative60,168,6,6.517857142857142,-0.09482789679919781,0.6666666666666666,3,3,2,2.1726190476190474,0.35000000000000053
A,primerCap,168,13,14.12202380952381,0.455548453706968,1.0,7,6,2,2.1726190476190474,0.010000000000000009
B,aggression,147,7,8.69047619047619,-0.7935739926428228,1.0,3,4,7,8.69047619047619,0.07999999999999996
B,hypoCaution,147,10,12.41496598639456,0.9307045002701954,1.0,4,6,7,8.69047619047619,0.19999999999999996
B,confirmedCap,147,14,17.38095238095238,0.985191514805052,1.0,7,7,3,3.724489795918367,0.31000000000000005
B,committedCap,147,12,14.897959183673468,0.9977358446417772,1.0,7,5,3,3.724489795918367,0.039999999999999925
B,cumulative60,147,15,18.622448979591837,-0.18304264886547647,0.6363636363636364,8,7,2,2.4829931972789114,0.3000000000000007
B,primerCap,147,10,12.41496598639456,0.8788145519776486,1.0,6,4,0,0.0,0.020000000000000018
C,aggression,105,4,6.952380952380953,-0.7551085708472324,1.0,2,2,4,6.952380952380953,0.07500000000000001
C,hypoCaution,105,7,12.166666666666666,0.7981235865727392,1.0,4,3,4,6.952380952380953,0.19999999999999996
C,confirmedCap,105,10,17.38095238095238,0.999988177148328,1.0,6,4,5,8.69047619047619,0.45999999999999996
C,committedCap,105,10,17.38095238095238,0.5102911088696219,0.9,6,4,1,1.7380952380952384,0.044999999999999984
C,cumulative60,105,10,17.38095238095238,0.22822468647697444,0.6666666666666666,7,3,5,8.69047619047619,0.5
C,primerCap,105,7,12.166666666666666,-0.46208749684988965,0.7142857142857143,4,3,2,3.4761904761904767,0.019999999999999962
D,aggression,147,1,1.2414965986394557,-0.38050234681286377,1.0,0,1,1,1.2414965986394557,0.07000000000000006
D,hypoCaution,147,2,2.4829931972789114,0.5504538332097222,1.0,0,2,1,1.2414965986394557,0.25
D,confirmedCap,147,2,2.4829931972789114,1.0,1.0,1,1,1,1.2414965986394557,0.36
D,committedCap,147,6,7.448979591836734,0.99971111943117,1.0,3,3,2,2.4829931972789114,0.03500000000000003
D,cumulative60,147,7,8.69047619047619,0.6808222636408938,1.0,3,4,0,0.0,0.09999999999999964
D,primerCap,147,5,6.20748299319728,0.45804283334400936,1.0,2,3,2,2.4829931972789114,0.02999999999999997
E,aggression,168,0,0.0,,,0,0,0,0.0,0.0
E,hypoCaution,168,0,0.0,,,0,0,0,0.0,0.0
E,confirmedCap,168,19,20.639880952380953,0.999669656642629,1.0,10,9,0,0.0,0.1200000000000001
E,committedCap,168,16,17.38095238095238,0.9476545928499657,1.0,1,15,0,0.0,0.015000000000000013
E,cumulative60,168,16,17.38095238095238,0.4650497475250757,0.5833333333333334,6,10,0,0.0,0.10000000000000053
E,primerCap,168,11,11.949404761904763,0.8927469344751966,1.0,0,11,0,0.0,0.010000000000000009
F,aggression,168,2,2.1726190476190474,-0.5548694095496649,1.0,1,1,2,2.1726190476190474,0.07999999999999996
F,hypoCaution,168,2,2.1726190476190474,0.5548694095496649,1.0,1,1,0,0.0,0.10000000000000009
F,confirmedCap,168,9,9.776785714285714,1.0,1.0,4,5,5,5.431547619047619,0.5
F,committedCap,168,17,18.467261904761905,0.9879580093976977,1.0,8,9,0,0.0,0.030000000000000027
F,cumulative60,168,15,16.294642857142858,-0.06835080621162307,0.7857142857142857,7,8,5,5.431547619047619,0.10000000000000053
F,primerCap,168,16,17.38095238095238,0.9615618398199118,1.0,8,8,0,0.0,0.014999999999999986
H,aggression,84,0,0.0,,,0,0,0,0.0,0.0
H,hypoCaution,84,0,0.0,,,0,0,0,0.0,0.0
H,confirmedCap,84,2,4.345238095238095,1.0,1.0,2,0,1,2.1726190476190474,0.5
H,committedCap,84,8,17.38095238095238,0.9986313360682402,1.0,6,2,4,8.69047619047619,0.06000000000000005
H,cumulative60,84,5,10.863095238095237,0.7740247691889275,1.0,5,0,1,2.1726190476190474,0.20000000000000018
H,primerCap,84,4,8.69047619047619,0.764781060062529,1.0,4,0,2,4.345238095238095,0.034999999999999976
