user,knob,windows,span_days,changes,changes_per_6mo,median_abs_delta,path,net,path_over_net,material,after_deadband,after_deadband_per_6mo,window,step,lag_days
tim,aggression,11,154,6,7.1103896103896105,0.11499999999999999,0.6700000000000002,0.07000000000000006,9.571428571428566,5,6,7.1103896103896105,14,14,14.0
tim,hypoCaution,11,154,7,8.295454545454545,0.5,4.7,0.10000000000000009,46.99999999999996,5,7,8.295454545454545,14,14,14.0
tim,confirmedCap,11,154,2,2.3701298701298703,0.1499999999999999,0.2999999999999998,0.0,,1,0,0.0,14,14,14.0
tim,committedCap,11,154,10,11.85064935064935,0.06,1.03,0.43,2.3953488372093026,6,5,5.925324675324675,14,14,14.0
tim,cumulative60,11,154,9,10.665584415584416,0.10000000000000009,2.4999999999999987,0.8999999999999999,2.777777777777777,4,1,1.1850649350649352,14,14,14.0
tim,primerCap,11,154,10,11.85064935064935,0.045000000000000005,0.5,0.21999999999999997,2.272727272727273,6,4,4.740259740259741,14,14,14.0
A,aggression,11,154,0,0.0,0.0,0.0,0.0,,0,0,0.0,14,14,14.0
A,hypoCaution,11,154,0,0.0,0.0,0.0,0.0,,0,0,0.0,14,14,14.0
A,confirmedCap,11,154,4,4.740259740259741,2.625,10.5,0.0,,3,3,3.5551948051948052,14,14,14.0
A,committedCap,11,154,9,10.665584415584416,0.050000000000000044,0.5199999999999994,0.05999999999999983,8.66666666666668,1,3,3.5551948051948052,14,14,14.0
A,cumulative60,11,154,9,10.665584415584416,0.20000000000000018,11.000000000000005,0.20000000000000107,54.99999999999974,2,3,3.5551948051948052,14,14,14.0
A,primerCap,11,154,9,10.665584415584416,0.020000000000000018,0.36,0.020000000000000018,17.999999999999982,3,2,2.3701298701298703,14,14,14.0
B,aggression,9,126,5,7.242063492063492,0.15000000000000002,0.6000000000000001,0.0,,4,5,7.242063492063492,14,14,14.0
B,hypoCaution,9,126,5,7.242063492063492,0.6000000000000001,2.4000000000000004,0.0,,4,5,7.242063492063492,14,14,14.0
B,confirmedCap,9,126,8,11.587301587301587,1.125,8.86,0.0,,5,5,7.242063492063492,14,14,14.0
B,committedCap,9,126,7,10.138888888888888,0.17999999999999994,1.03,0.1100000000000001,9.363636363636356,5,5,7.242063492063492,14,14,14.0
B,cumulative60,9,126,8,11.587301587301587,1.0000000000000004,9.5,0.2999999999999998,31.666666666666686,5,7,10.138888888888888,14,14,14.0
B,primerCap,9,126,7,10.138888888888888,0.20999999999999996,1.1099999999999999,0.010000000000000009,110.99999999999989,4,6,8.69047619047619,14,14,14.0
